epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.53216,3.02255,13.3768,1.59605,0.00169,1,0.00254,0.00051,3.451,9.33112,3.12618,0,0,0
1,7.61046,3.02254,13.3827,1.59604,0.00171,1,0.00185,0.00019,3.47022,10.0543,3.12466,0,0,0
1,7.54906,3.02254,13.3827,1.59604,0.00172,1,0.00179,0.00018,3.47985,10.757,3.11993,0,0,0
1,2.95753,3.02254,13.3827,1.59604,0.00174,1,0.00174,0.00017,3.50316,11.3512,3.09372,0,0,0
1,2.96563,3.02254,13.3827,1.59604,0,0,0,0,3.50975,11.567,3.09073,0,0,0
1,2.94256,3.02254,13.3827,1.59604,0,0,0,0,3.51119,11.7751,3.08438,0,0,0
1,2.99545,3.02254,13.3827,1.59604,0.00177,1,0.00233,0.00023,3.51038,11.9148,3.08329,0,0,0
1,3.19713,3.02254,13.3827,1.59604,0.00177,1,0.00234,0.00023,3.50489,11.963,3.08102,0,0,0
1,3.18258,3.02254,13.3827,1.59604,0.00176,1,0.00229,0.00023,3.49909,11.9546,3.08074,0,0,0
1,3.19102,3.02254,13.3827,1.59604,0.00174,1,0.0022,0.00022,3.4907,11.9007,3.08167,0,0,0
1,3.21257,3.02254,13.3827,1.59604,0.00172,1,0.0021,0.00021,3.51559,11.7419,3.02711,0,0,0
1,3.21027,3.02254,13.3827,1.59604,0.00169,1,0.00202,0.0004,3.50543,11.5981,3.03058,0,0,0
1,3.16971,3.02254,13.3827,1.59604,0.00168,1,0.00184,0.00055,3.51612,11.4013,2.96435,0,0,0
1,2.93094,3.02254,13.3827,1.59604,0.00168,1,0.0018,0.00054,3.5098,11.2009,2.96568,0,0,0
1,3.05353,3.02254,13.3827,1.59604,0.00166,1,0.00175,0.00053,3.50871,10.8979,2.97039,0,0,0
1,2.96798,3.02254,13.3827,1.59604,0.00165,1,0.00174,0.00035,3.51101,10.5928,2.9755,0,0,0
1,2.95364,3.02254,13.3827,1.59604,0.00165,1,0.00178,0.00036,3.51103,10.44,2.9752,0,0,0
1,2.94973,3.02254,13.3827,1.59604,0.00164,1,0.00179,0.00036,3.49786,10.4257,3.06129,0,0,0
1,2.96487,3.02254,13.3827,1.59604,0.00163,1,0.00181,0.00036,3.49451,10.5088,3.06072,0,0,0
1,3.06544,3.02254,13.3827,1.59604,0,0,0,0,3.49604,10.7054,3.05691,0,0,0
1,2.98087,3.02254,13.3827,1.59604,0,0,0,0,3.49604,10.7054,3.05691,0,0,0
1,2.89508,3.02254,13.3827,1.59604,0,0,0,0,3.50712,10.8549,3.05015,0,0,0
1,2.8854,3.02254,13.3827,1.59604,0,0,0,0,3.57323,10.9659,3.00052,0,0,0
1,2.94985,3.02254,13.3827,1.59604,0,0,0,0,3.58998,11.3654,3.00618,0,0,0
