epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.27812,3.03573,4.93179,2.04488,0.00183,0.08333,0.0023,0.00023,2.83694,5.5804,1.89976,1.904e-05,1.904e-05,1.904e-05
1,2.76848,3.1576,5.11583,2.02874,0.00833,0.08488,0.00549,0.00224,2.70461,5.1497,1.77658,0.0856,0.0016,0.0016
2,5.37818,3.0007,5.13147,1.86017,0.50098,0.01667,0.00382,0.00062,2.75976,4.70826,1.70685,0.0703,0.00329999,0.00329999
3,7.80578,2.91932,4.05858,1.81557,0.03738,0.12803,0.04406,0.01173,2.69723,4.11102,1.60081,0.055,0.00499995,0.00499995
4,10.464,2.78171,3.45126,1.62961,0.13835,0.12798,0.11748,0.02094,2.62529,4.05055,1.572,0.0396999,0.00669985,0.00669985
5,13.0903,2.74252,3.55238,1.68256,0.1995,0.23443,0.14345,0.03003,2.5991,4.47005,1.58954,0.0243997,0.00839967,0.00839967
6,15.7361,2.71821,3.18204,1.645,0.22989,0.24327,0.1914,0.03165,2.64574,3.06016,1.64668,0.00999939,0.00999939,0.00999939
7,18.368,2.5921,4.4821,1.53434,0.23869,0.25097,0.18829,0.03237,2.65925,2.91747,1.65267,0.00999912,0.00999912,0.00999912
8,20.9923,2.60826,3.31651,1.58827,0.27386,0.32266,0.2198,0.03972,2.57252,2.88199,1.56271,0.0099988,0.0099988,0.0099988
9,23.628,2.61483,3.29432,1.4827,0.17412,0.22934,0.17582,0.03278,2.72496,2.5974,1.6112,0.00999844,0.00999844,0.00999844
10,26.1225,2.58018,2.94232,1.42572,0.21477,0.40948,0.23142,0.04885,2.45584,2.63178,1.45144,0.00999802,0.00999802,0.00999802
11,28.7268,2.56782,3.00428,1.43665,0.21833,0.16538,0.14547,0.03061,2.91102,2.6389,1.73482,0.00999756,0.00999756,0.00999756
12,31.1667,2.57492,2.85423,1.48094,0.37088,0.25352,0.19862,0.05041,2.41478,2.69254,1.42109,0.00999704,0.00999704,0.00999704
13,33.5982,2.53052,4.44222,1.51689,0.20719,0.46938,0.21262,0.04968,2.5464,3.01376,1.49119,0.00999648,0.00999648,0.00999648
14,36.0672,2.53347,2.73811,1.42313,0.20252,0.46904,0.21273,0.04921,2.57389,2.77197,1.50948,0.00999587,0.00999587,0.00999587
15,38.4595,2.45014,2.57402,1.47996,0.1574,0.64784,0.24607,0.07265,2.53616,2.35076,1.48318,0.00999521,0.00999521,0.00999521
16,41.0753,2.44362,2.62348,1.38931,0.31881,0.36996,0.29537,0.1084,2.43247,2.17007,1.40739,0.0099945,0.0099945,0.0099945
17,43.6871,2.44358,2.62461,1.4365,0.63136,0.39761,0.31399,0.10506,2.44464,2.16941,1.40851,0.00999375,0.00999375,0.00999375
18,46.0845,2.38798,2.73706,1.37833,0.33274,0.30916,0.21302,0.06802,2.45449,2.39811,1.39184,0.00999294,0.00999294,0.00999294
19,48.5946,2.4606,2.85898,1.34633,0.36432,0.31406,0.2746,0.08018,2.42012,3.10964,1.3515,0.00999209,0.00999209,0.00999209
20,51.0402,2.44531,2.68699,1.30269,0.69354,0.30615,0.27289,0.06803,2.45415,2.63229,1.36054,0.00999118,0.00999118,0.00999118
21,53.4423,2.47252,2.60749,1.29071,0.64269,0.16757,0.1915,0.06546,2.34839,2.69698,1.31369,0.00999023,0.00999023,0.00999023
22,55.963,2.53951,2.32395,1.39503,0.64289,0.31263,0.29918,0.11584,2.33796,2.22274,1.32234,0.00998923,0.00998923,0.00998923
23,58.5356,2.31611,2.21074,1.36995,0.2719,0.47719,0.26706,0.09384,2.58228,1.99333,1.51458,0.00998818,0.00998818,0.00998818
24,60.9456,2.36522,2.10544,1.39716,0.28337,0.52263,0.37492,0.11522,2.36704,1.76157,1.3414,0.00998708,0.00998708,0.00998708
25,63.5472,2.35545,2.41259,1.34675,0.38585,0.47493,0.3796,0.11301,2.39961,1.61411,1.35174,0.00998594,0.00998594,0.00998594
26,66.01,2.51947,2.36788,1.31608,0.2464,0.58425,0.31913,0.10309,2.34486,1.63257,1.3258,0.00998474,0.00998474,0.00998474
27,68.4986,2.32088,2.14624,1.34735,0.25672,0.69289,0.35591,0.1181,2.39037,1.70282,1.35172,0.0099835,0.0099835,0.0099835
28,71.1532,2.38037,2.13351,1.27555,0.38716,0.4622,0.39242,0.12275,2.53557,1.77456,1.40067,0.0099822,0.0099822,0.0099822
29,73.7524,2.32967,2.07313,1.34161,0.28111,0.58052,0.37902,0.14083,2.47152,1.67529,1.37607,0.00998086,0.00998086,0.00998086
