epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.78724,3.04401,5.87733,2.7631,0,0,0,0,4.12168,5.40459,2.70725,0,0,0
1,1.93859,3.04399,5.87695,2.76312,0,0,0,0,4.12271,5.40847,2.72483,0,0,0
1,1.93203,3.04399,5.87695,2.76312,0,0,0,0,4.1362,5.4094,2.75685,0,0,0
1,1.93169,3.04399,5.87695,2.76312,0,0,0,0,4.16569,5.41129,2.78815,0,0,0
1,1.94061,3.04399,5.87695,2.76312,0,0,0,0,4.19215,5.41657,2.80448,0,0,0
1,1.84247,3.04399,5.87695,2.76312,0,0,0,0,4.20718,5.41709,2.8127,0,0,0
1,1.9288,3.04399,5.87695,2.76312,0,0,0,0,4.2071,5.42019,2.82679,0,0,0
1,2.0578,3.04399,5.87695,2.76312,0,0,0,0,4.20931,5.42207,2.83312,0,0,0
1,2.0257,3.04399,5.87695,2.76312,0,0,0,0,4.20122,5.42463,2.84092,0,0,0
1,1.93998,3.04399,5.87695,2.76312,0,0,0,0,4.1878,5.42107,2.84689,0,0,0
1,1.95893,3.04399,5.87695,2.76312,0,0,0,0,4.16978,5.4169,2.85291,0,0,0
1,2.0069,3.04399,5.87695,2.76312,0,0,0,0,4.16153,5.41747,2.85218,0,0,0
1,2.09127,3.04399,5.87695,2.76312,0,0,0,0,4.15811,5.41589,2.85376,0,0,0
1,2.92509,3.04399,5.87695,2.76312,0,0,0,0,4.15139,5.41479,2.86126,0,0,0
1,2.06675,3.04399,5.87695,2.76312,0,0,0,0,4.14775,5.41295,2.8676,0,0,0
1,2.03862,3.04399,5.87695,2.76312,0,0,0,0,4.13136,5.40605,2.87083,0,0,0
1,1.94085,3.04399,5.87695,2.76312,0,0,0,0,4.11375,5.40728,2.88486,0,0,0
1,1.93951,3.04399,5.87695,2.76312,0,0,0,0,4.10551,5.40861,2.89406,0,0,0
1,2.05529,3.04399,5.87695,2.76312,0,0,0,0,4.10389,5.40618,2.90265,0,0,0
1,2.15646,3.04399,5.87695,2.76312,0,0,0,0,4.10468,5.40187,2.90821,0,0,0
1,3.15293,3.04399,5.87695,2.76312,0,0,0,0,4.09742,5.40138,2.87911,0,0,0
1,1.93442,3.04399,5.87695,2.76312,0,0,0,0,4.10152,5.39828,2.88838,0,0,0
1,1.97636,3.04399,5.87695,2.76312,0,0,0,0,4.11825,5.38957,2.9097,0,0,0
1,2.16386,3.04399,5.87695,2.76312,0,0,0,0,4.12951,5.38713,2.91508,0,0,0
1,2.28968,3.04399,5.87695,2.76312,0,0,0,0,4.14016,5.38524,2.92108,0,0,0
1,2.04421,3.04399,5.87695,2.76312,0,0,0,0,4.14012,5.38257,2.93001,0,0,0
1,2.17235,3.04399,5.87695,2.76312,0,0,0,0,4.13935,5.37856,2.92708,0,0,0
1,2.44415,3.04399,5.87695,2.76312,0,0,0,0,4.13404,5.37169,2.91971,0,0,0
1,2.03713,3.04399,5.87695,2.76312,0,0,0,0,4.12212,5.36331,2.91276,0,0,0
1,2.11538,3.04399,5.87695,2.76312,0,0,0,0,4.11161,5.36278,2.90477,0,0,0
1,1.95795,3.04399,5.87695,2.76312,0,0,0,0,4.08512,5.36386,2.89393,0,0,0
1,2.0823,3.04399,5.87695,2.76312,0,0,0,0,4.06011,5.362,2.88889,0,0,0
1,2.17612,3.04399,5.87695,2.76312,0,0,0,0,4.0617,5.3667,2.88883,0,0,0
1,2.64061,3.04399,5.87695,2.76312,0,0,0,0,4.05885,5.36913,2.89243,0,0,0
1,2.60043,3.04399,5.87695,2.76312,0,0,0,0,4.05068,5.36774,2.889,0,0,0
1,1.95221,3.04399,5.87695,2.76312,0,0,0,0,4.04686,5.36583,2.88909,0,0,0
1,2.26506,3.04399,5.87695,2.76312,0,0,0,0,4.04411,5.36129,2.88835,0,0,0
1,2.11204,3.04399,5.87695,2.76312,0,0,0,0,4.04667,5.35633,2.88628,0,0,0
1,2.10294,3.04399,5.87695,2.76312,0,0,0,0,4.05543,5.34939,2.88192,0,0,0
1,2.03308,3.04399,5.87695,2.76312,0,0,0,0,4.06624,5.34831,2.88393,0,0,0
1,2.09507,3.04399,5.87695,2.76312,0,0,0,0,4.07543,5.35096,2.89495,0,0,0
1,2.76707,3.04399,5.87695,2.76312,0,0,0,0,4.08126,5.35293,2.89843,0,0,0
1,2.09795,3.04399,5.87695,2.76312,0,0,0,0,4.09002,5.3519,2.90131,0,0,0
1,2.1428,3.04399,5.87695,2.76312,0,0,0,0,4.09576,5.3548,2.90223,0,0,0
1,2.01559,3.04399,5.87695,2.76312,0,0,0,0,4.10113,5.35728,2.90328,0,0,0
1,1.9628,3.04399,5.87695,2.76312,0,0,0,0,4.10405,5.35978,2.90361,0,0,0
1,2.1446,3.04399,5.87695,2.76312,0,0,0,0,4.10126,5.36217,2.90167,0,0,0
1,2.41951,3.04399,5.87695,2.76312,0,0,0,0,4.097,5.36391,2.90195,0,0,0
1,2.29906,3.04399,5.87695,2.76312,0,0,0,0,4.09118,5.36656,2.90446,0,0,0
1,2.19338,3.04399,5.87695,2.76312,0,0,0,0,4.08746,5.3728,2.91149,0,0,0
1,1.94116,3.04399,5.87695,2.76312,0,0,0,0,4.07963,5.37502,2.92021,0,0,0
1,1.93659,3.04399,5.87695,2.76312,0,0,0,0,4.07405,5.3769,2.92628,0,0,0
1,2.00622,3.04399,5.87695,2.76312,0,0,0,0,4.06876,5.37867,2.92978,0,0,0
1,2.01174,3.04399,5.87695,2.76312,0,0,0,0,4.06039,5.38233,2.93614,0,0,0
1,2.40711,3.04399,5.87695,2.76312,0,0,0,0,4.05479,5.38311,2.93915,0,0,0
1,2.0832,3.04399,5.87695,2.76312,0,0,0,0,4.05303,5.38224,2.93898,0,0,0
1,1.92475,3.04399,5.87695,2.76312,0,0,0,0,4.05093,5.38275,2.94153,0,0,0
1,2.04519,3.04399,5.87695,2.76312,0,0,0,0,4.04654,5.38136,2.94359,0,0,0
1,2.175,3.04399,5.87695,2.76312,0,0,0,0,4.04052,5.37843,2.94508,0,0,0
1,2.22647,3.04399,5.87695,2.76312,0,0,0,0,4.03694,5.37874,2.95096,0,0,0
1,2.27905,3.04399,5.87695,2.76312,0,0,0,0,4.03264,5.37817,2.95433,0,0,0
1,2.5775,3.04399,5.87695,2.76312,0,0,0,0,4.02795,5.37972,2.95065,0,0,0
1,1.90692,3.04399,5.87695,2.76312,0,0,0,0,4.02283,5.38219,2.94893,0,0,0
1,1.92195,3.04399,5.87695,2.76312,0,0,0,0,4.01771,5.38472,2.94819,0,0,0
1,2.21139,3.04399,5.87695,2.76312,0,0,0,0,4.01491,5.38605,2.9479,0,0,0
1,1.94497,3.04399,5.87695,2.76312,0,0,0,0,4.01372,5.3874,2.94881,0,0,0
1,306.511,3.04399,5.87695,2.76312,0,0,0,0,4.01095,5.38614,2.94673,0,0,0
1,7.06718,3.04399,5.87695,2.76312,0,0,0,0,4.0137,5.38678,2.94842,0,0,0
1,5.85733,3.04399,5.87695,2.76312,0,0,0,0,4.01233,5.38584,2.9513,0,0,0
1,5.4418,3.04399,5.87695,2.76312,0,0,0,0,4.00956,5.38781,2.94916,0,0,0
1,4.48554,3.04399,5.87695,2.76312,0,0,0,0,4.00625,5.3896,2.94755,0,0,0
1,5.34534,3.04399,5.87695,2.76312,0,0,0,0,4.00261,5.39108,2.94512,0,0,0
1,6.06231,3.04399,5.87695,2.76312,0,0,0,0,3.99942,5.39609,2.94948,0,0,0
1,1022.01,3.04399,5.87695,2.76312,0,0,0,0,3.99626,5.39568,2.94642,0,0,0
1,3.49877,3.04399,5.87695,2.76312,0,0,0,0,3.99271,5.39627,2.94253,0,0,0
1,1.88462,3.04399,5.87695,2.76312,0,0,0,0,3.98866,5.39569,2.93997,0,0,0
1,4.22085,3.04399,5.87695,2.76312,0,0,0,0,3.98686,5.39668,2.93875,0,0,0
1,1.89706,3.04399,5.87695,2.76312,0,0,0,0,3.9822,5.39832,2.93979,0,0,0
1,2.52311,3.04399,5.87695,2.76312,0,0,0,0,3.97675,5.39848,2.9376,0,0,0
1,2.02602,3.04399,5.87695,2.76312,0,0,0,0,3.97186,5.39828,2.93546,0,0,0
1,3.01362,3.04399,5.87695,2.76312,0,0,0,0,3.97208,5.3984,2.93518,0,0,0
1,3.63162,3.04399,5.87695,2.76312,0,0,0,0,3.96842,5.39918,2.9346,0,0,0
1,2.87082,3.04399,5.87695,2.76312,0,0,0,0,3.96341,5.40074,2.93415,0,0,0
1,996.716,3.04399,5.87695,2.76312,0,0,0,0,3.95904,5.40042,2.93219,0,0,0
1,2.1323,3.04399,5.87695,2.76312,0,0,0,0,3.95566,5.40021,2.93057,0,0,0
1,2.15113,3.04399,5.87695,2.76312,0,0,0,0,3.95561,5.40161,2.93121,0,0,0
1,2.14145,3.04399,5.87695,2.76312,0,0,0,0,3.95519,5.40302,2.93385,0,0,0
1,2.30509,3.04399,5.87695,2.76312,0,0,0,0,3.95479,5.40417,2.93428,0,0,0
1,2.23744,3.04399,5.87695,2.76312,0,0,0,0,3.95266,5.40522,2.93559,0,0,0
1,1.9129,3.04399,5.87695,2.76312,0,0,0,0,3.94952,5.40576,2.93605,0,0,0
1,1.94015,3.04399,5.87695,2.76312,0,0,0,0,3.94522,5.40838,2.93592,0,0,0
1,1.91838,3.04399,5.87695,2.76312,0,0,0,0,3.94254,5.40908,2.93669,0,0,0
1,1.94223,3.04399,5.87695,2.76312,0,0,0,0,3.94063,5.40984,2.93782,0,0,0
1,2.04265,3.04399,5.87695,2.76312,0,0,0,0,3.93894,5.41054,2.93902,0,0,0
1,2.57869,3.04399,5.87695,2.76312,0,0,0,0,3.93629,5.416,2.94546,0,0,0
1,1.94203,3.04399,5.87695,2.76312,0,0,0,0,3.93544,5.41663,2.94765,0,0,0
1,1.91841,3.04399,5.87695,2.76312,0,0,0,0,3.9359,5.41655,2.95126,0,0,0
1,1.90033,3.04399,5.87695,2.76312,0,0,0,0,3.93484,5.4169,2.9534,0,0,0
1,1.91533,3.04399,5.87695,2.76312,0,0,0,0,3.93119,5.41617,2.95458,0,0,0
