epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.27362,3.34702,4.86064,2.92759,0,0,0,0,3.23399,5.56749,3.00385,0,0,0
2,2.37461,3.98223,5.56155,3.30117,0,0,0,0,3.27493,5.41282,2.99699,1.50197e-05,1.50197e-05,1.50197e-05
3,3.50253,3.66218,5.08745,3.08237,0,0,0,0,3.23035,5.51681,2.97214,2.67387e-05,2.67387e-05,2.67387e-05
4,4.63919,3.47341,5.72271,2.77042,0,0,0,0,3.20162,5.62209,2.98354,3.5157e-05,3.5157e-05,3.5157e-05
5,5.63607,3.71058,5.71285,3.06475,0,0,0,0,3.18145,5.40582,2.97247,4.02747e-05,4.02747e-05,4.02747e-05
6,6.80581,3.2244,5.11852,2.6134,0,0,0,0,3.16117,5.2265,2.93472,4.20917e-05,4.20917e-05,4.20917e-05
7,7.94869,3.24814,5.09961,2.58169,0,0,0,0,3.12278,5.03701,2.93149,4.06081e-05,4.06081e-05,4.06081e-05
8,8.97512,2.69376,5.36635,2.25953,0,0,0,0,3.20928,4.93854,2.93478,3.58238e-05,3.58238e-05,3.58238e-05
9,10.0273,3.51792,5.01123,3.08364,0,0,0,0,3.20878,4.90143,2.90908,2.77389e-05,2.77389e-05,2.77389e-05
10,11.0312,2.78545,4.67131,2.54413,0,0,0,0,3.16972,4.91843,2.91366,1.63533e-05,1.63533e-05,1.63533e-05
