epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.21972,2.88115,4.27729,2.57272,0,0,0,0,3.22327,4.92746,2.93882,0,0,0
2,1.52719,3.18677,4.39528,2.71706,0,0,0,0,3.24302,4.83904,2.9091,1.63399e-05,1.63399e-05,1.63399e-05
3,1.92598,3.46015,4.27553,2.94266,0,0,0,0,3.20986,5.06528,2.81536,3.20197e-05,3.20197e-05,3.20197e-05
4,2.21945,3.26537,4.21689,2.98418,0,0,0,0,3.12504,5.25902,2.74521,4.70394e-05,4.70394e-05,4.70394e-05
5,2.5135,3.02082,4.05927,2.84452,0,0,0,0,2.93356,5.52927,2.66974,6.13989e-05,6.13989e-05,6.13989e-05
6,2.80401,3.32676,4.19292,2.82603,0,0,0,0,2.93176,5.82957,2.68038,7.50984e-05,7.50984e-05,7.50984e-05
7,3.08372,2.74141,4.12866,2.66771,0,0,0,0,3.16947,5.66086,2.82448,8.81376e-05,8.81376e-05,8.81376e-05
8,3.36092,2.67987,4.84102,2.63444,0,0,0,0,3.22626,5.13369,3.02367,0.000100517,0.000100517,0.000100517
9,3.63958,2.82127,4.01884,2.56441,0,0,0,0,2.80312,5.47963,2.95681,0.000112236,0.000112236,0.000112236
10,3.91974,2.38533,3.94105,2.21851,0,0,0,0,2.44136,5.53811,2.9013,0.000123295,0.000123295,0.000123295
11,4.19835,2.27791,3.93624,2.23068,0,0,0,0,2.19106,5.59421,2.8354,0.000133693,0.000133693,0.000133693
12,4.48099,2.82935,4.08947,2.54852,0,0,0,0,2.07882,5.55154,2.78052,0.000143432,0.000143432,0.000143432
13,4.76519,2.29659,4.25078,2.22746,0,0,0,0,2.0531,5.47635,2.75831,0.00015251,0.00015251,0.00015251
14,5.04799,2.37247,4.01069,2.3157,0,0,0,0,2.01553,5.35886,2.69813,0.000160929,0.000160929,0.000160929
15,5.32957,2.32695,4.83916,2.72154,0,0,0,0,1.88763,5.22453,2.58212,0.000168687,0.000168687,0.000168687
16,5.61186,2.52433,4.04236,2.34783,0,0,0,0,2.1437,4.91599,2.60163,0.000175785,0.000175785,0.000175785
17,5.89905,3.03849,4.02363,2.41883,0,0,0,0,2.24676,4.97222,2.594,0.000182223,0.000182223,0.000182223
18,6.18078,2.33276,3.56794,2.13928,0,0,0,0,2.24676,4.97222,2.594,0.000188001,0.000188001,0.000188001
19,6.46688,3.13232,4.33452,2.25599,0.00595,1,0.00881,0.00088,1.98861,5.03769,2.55309,0.000193119,0.000193119,0.000193119
20,6.75447,2.76895,3.73017,2.53392,0.00595,1,0.00881,0.00088,1.98861,5.03769,2.55309,0.000197576,0.000197576,0.000197576
21,7.04117,2.23416,3.54219,1.93856,0,0,0,0,1.82934,4.93392,2.29126,0.000201374,0.000201374,0.000201374
22,7.39749,2.39729,4.4335,2.22636,0,0,0,0,1.82934,4.93392,2.29126,0.000204511,0.000204511,0.000204511
23,7.67425,2.4338,3.94673,2.12896,0.00629,1,0.00696,0.0007,1.64795,4.81805,2.14786,0.000206988,0.000206988,0.000206988
24,7.95266,2.21029,3.52661,1.73965,0.00629,1,0.00696,0.0007,1.64795,4.81805,2.14786,0.000208805,0.000208805,0.000208805
25,8.22855,2.14927,4.21415,2.00402,0.00621,1,0.00966,0.00193,1.56214,4.6836,2.13437,0.000209962,0.000209962,0.000209962
26,8.51353,2.20037,3.40534,1.79829,0.00621,1,0.00966,0.00193,1.56214,4.6836,2.13437,0.000210459,0.000210459,0.000210459
